ID;POTENCIA;NRESIDENTES;TIPOVIVIENDA;PROVINCIA;MES;PREDICCION_CONSUMO;PREDICCION_PRECIO;COSTE_POTENCIA;COSTE_ESTIMADO;FECHA_PREDICCION
602;5.9;3.7;Casa Unifamiliar;AVILA;2025-10;478.3;72.0503;425.1;34461.66;2025-04-20
603;4.9;2.8;Piso;MALAGA;2025-10;244.14;98.3762;482.04;24017.57;2025-04-20
604;4.9;2.5;Adosado;MURCIA;2025-10;403.46;78.3896;384.11;31627.07;2025-04-20
605;3.8;2.8;Casa Unifamiliar;GIRONA;2025-07;519.44;53.048;201.58;27555.25;2025-04-20
606;5.1;3.0;Duplex;A CORUÑA;2025-10;414.22;54.7147;279.04;22663.92;2025-04-20
607;6.5;4.4;Duplex;SALAMANCA;2025-10;451.15;359.8661;2339.13;162353.59;2025-04-20
608;6.3;2.7;Adosado;ALBACETE;2025-07;402.44;188.9495;1190.38;76040.84;2025-04-20
609;6.5;2.8;Duplex;MALAGA;2025-10;368.39;155.7134;1012.14;57363.26;2025-04-20
610;5.6;3.3;Piso;PALENCIA;2025-10;303.01;60.6477;339.63;18376.86;2025-04-20
611;5.3;2.1;Casa Unifamiliar;LEON;2025-09;503.72;61.6615;326.81;31060.13;2025-04-20
612;6.2;4.5;Piso;CUENCA;2025-06;233.58;87.114;540.11;20348.09;2025-04-20
613;6.5;2.3;Duplex;GUADALAJARA;2025-08;403.63;325.9093;2118.41;131546.77;2025-04-20
614;4.9;3.6;Duplex;LEON;2025-08;399.92;59.7055;292.56;23877.42;2025-04-20
615;4.0;4.7;Adosado;CACERES;2025-07;307.92;70.4271;281.71;21685.91;2025-04-20
616;4.8;3.2;Piso;CASTELLON;2025-08;207.71;111.2581;534.04;23109.42;2025-04-20
617;6.5;2.6;Casa Unifamiliar;SORIA;2025-05;601.11;196.2673;1275.74;117978.24;2025-04-20
618;5.1;4.6;Casa Unifamiliar;BURGOS;2025-10;605.8;74.2119;378.48;44957.57;2025-04-20
619;3.5;3.4;Duplex;GUADALAJARA;2025-04;403.01;99.0172;346.56;39904.92;2025-04-20
620;5.3;4.5;Casa Unifamiliar;TOLEDO;2025-07;572.17;71.1582;377.14;40714.59;2025-04-20
621;6.3;4.2;Adosado;NAVARRA;2025-04;343.87;82.0876;517.15;28227.46;2025-04-20
622;5.1;4.4;Adosado;MURCIA;2025-04;376.27;113.7648;580.2;42806.28;2025-04-20
623;5.6;4.1;Casa Unifamiliar;BADAJOZ;2025-04;537.66;190.7595;1068.25;102563.75;2025-04-20
624;5.7;4.8;Piso;CACERES;2025-06;178.09;81.8622;466.61;14578.84;2025-04-20
625;5.7;2.4;Piso;CANTABRIA;2025-03;182.09;52.3706;298.51;9536.16;2025-04-20
626;5.7;2.0;Casa Unifamiliar;CADIZ;2025-08;541.07;419.295;2389.98;226867.95;2025-04-20
627;4.6;5.0;Duplex;GRANADA;2025-05;420.34;93.7339;431.18;39400.11;2025-04-20
628;4.2;2.9;Casa Unifamiliar;ALAVA;2025-03;535.57;204.1215;857.31;109321.35;2025-04-20
629;3.5;3.3;Adosado;CUENCA;2025-05;353.33;330.0136;1155.05;116603.71;2025-04-20
630;4.8;4.7;Duplex;ALAVA;2025-04;439.76;93.1182;446.97;40949.66;2025-04-20
631;3.9;3.1;Piso;ILLES BALEARS;2025-04;303.96;54.8461;213.9;16671.02;2025-04-20
632;4.8;2.5;Casa Unifamiliar;SEGOVIA;2025-04;520.94;74.1132;355.74;38608.53;2025-04-20
633;5.5;2.8;Piso;GIRONA;2025-09;263.18;194.2803;1068.54;51130.69;2025-04-20
634;6.5;4.8;Casa Unifamiliar;MALAGA;2025-04;590.29;81.5589;530.13;48143.4;2025-04-20
635;4.4;4.0;Adosado;MURCIA;2025-06;303.65;54.022;237.7;16403.78;2025-04-20
636;3.6;4.0;Casa Unifamiliar;GRANADA;2025-10;604.59;63.1322;227.28;38169.1;2025-04-20
637;3.8;4.0;Piso;BARCELONA;2025-08;273.86;493.3157;1874.6;135099.44;2025-04-20
638;5.2;3.3;Adosado;CANTABRIA;2025-03;301.81;502.9223;2615.2;151786.98;2025-04-20
639;6.3;3.9;Duplex;OURENSE;2025-09;354.11;67.4955;425.22;23900.83;2025-04-20
640;5.9;2.3;Adosado;BADAJOZ;2025-03;306.5;80.1752;473.03;24573.7;2025-04-20
641;4.0;4.5;Piso;LA RIOJA;2025-10;273.14;497.8092;1991.24;135971.6;2025-04-20
642;6.3;3.0;Casa Unifamiliar;ZAMORA;2025-09;605.35;318.764;2008.21;192963.79;2025-04-20
643;4.7;4.5;Duplex;ALAVA;2025-04;453.11;66.3646;311.91;30070.46;2025-04-20
644;4.7;4.1;Piso;ZARAGOZA;2025-06;249.52;334.9113;1574.08;83567.07;2025-04-20
645;4.6;3.6;Adosado;TARRAGONA;2025-08;372.17;60.58;278.67;22546.06;2025-04-20
646;5.8;4.4;Adosado;CIUDAD REAL;2025-05;354.45;61.3998;356.12;21763.16;2025-04-20
647;6.5;2.5;Adosado;BADAJOZ;2025-10;307.06;88.7873;577.12;27263.03;2025-04-20
648;5.7;3.5;Piso;TOLEDO;2025-07;239.29;77.4465;441.45;18532.17;2025-04-20
649;4.5;2.7;Casa Unifamiliar;CANTABRIA;2025-08;482.24;91.1228;410.05;43943.06;2025-04-20
650;5.3;4.3;Piso;SANTA CRUZ DE TENERIFE;2025-05;304.48;109.0786;578.12;33212.25;2025-04-20
651;5.7;2.7;Adosado;GUADALAJARA;2025-10;407.42;93.956;535.55;38279.55;2025-04-20
652;4.8;3.9;Piso;ALICANTE;2025-04;194.14;53.4567;256.59;10378.08;2025-04-20
653;4.3;3.0;Piso;NAVARRA;2025-06;262.67;113.6378;488.64;29849.24;2025-04-20
654;3.9;3.2;Adosado;AVILA;2025-08;360.29;365.736;1426.37;131771.02;2025-04-20
655;5.5;3.5;Casa Unifamiliar;MALAGA;2025-05;599.56;84.7648;466.21;50821.58;2025-04-20
656;4.5;4.4;Adosado;GRANADA;2025-08;353.66;74.7949;336.58;26451.96;2025-04-20
657;3.7;3.9;Adosado;CORDOBA;2025-05;272.55;282.6777;1045.91;77043.81;2025-04-20
658;4.6;2.5;Adosado;CIUDAD REAL;2025-06;397.05;332.1314;1527.8;131872.77;2025-04-20
659;4.8;2.6;Adosado;JAEN;2025-09;403.48;81.2373;389.94;32777.63;2025-04-20
660;5.1;2.7;Adosado;LLEIDA;2025-10;407.76;83.1173;423.9;33891.91;2025-04-20
661;4.7;2.2;Casa Unifamiliar;LAS PALMAS;2025-07;609.57;238.7629;1122.19;145542.7;2025-04-20
662;6.2;3.2;Duplex;MADRID;2025-04;443.38;226.7625;1405.93;100541.96;2025-04-20
663;6.5;2.4;Duplex;TERUEL;2025-06;446.53;27.0065;175.54;12059.21;2025-04-20
664;4.6;3.9;Adosado;PONTEVEDRA;2025-09;375.13;66.6627;306.65;25007.18;2025-04-20
665;5.8;3.1;Duplex;BADAJOZ;2025-06;380.12;66.2727;384.38;25191.58;2025-04-20
666;3.8;2.1;Piso;TARRAGONA;2025-10;172.9;322.756;1226.47;55804.51;2025-04-20
667;6.3;4.7;Piso;ZARAGOZA;2025-09;236.6;370.8915;2336.62;87752.93;2025-04-20
668;6.5;4.1;Adosado;PONTEVEDRA;2025-05;374.56;85.0629;552.91;31861.16;2025-04-20
669;5.5;4.8;Duplex;MADRID;2025-06;418.74;50.4585;277.52;21128.99;2025-04-20
670;5.8;4.4;Casa Unifamiliar;LUGO;2025-07;603.5;93.608;542.93;56492.43;2025-04-20
671;6.4;4.2;Casa Unifamiliar;AVILA;2025-05;468.19;89.8396;574.97;42062.0;2025-04-20
672;3.8;4.0;Adosado;LUGO;2025-03;393.67;73.9806;281.13;29123.94;2025-04-20
673;4.8;3.4;Piso;CANTABRIA;2025-08;274.84;159.7022;766.57;43892.55;2025-04-20
674;5.8;4.4;Duplex;ALBACETE;2025-04;379.38;109.9486;637.7;41712.3;2025-04-20
675;5.2;3.5;Casa Unifamiliar;ALBACETE;2025-09;506.86;40.8809;212.58;20720.89;2025-04-20
676;4.7;4.3;Adosado;BADAJOZ;2025-09;307.01;72.255;339.6;22183.01;2025-04-20
677;5.5;2.4;Adosado;SEGOVIA;2025-06;358.81;343.4105;1888.76;123219.12;2025-04-20
678;4.4;2.0;Duplex;SANTA CRUZ DE TENERIFE;2025-05;448.5;108.1399;475.82;48500.75;2025-04-20
679;5.7;3.4;Adosado;HUESCA;2025-09;311.67;36.5134;208.13;11380.13;2025-04-20
680;4.8;4.0;Duplex;LAS PALMAS;2025-05;375.16;92.0588;441.88;34536.78;2025-04-20
681;3.7;2.3;Piso;GRANADA;2025-03;295.81;252.3226;933.59;74639.55;2025-04-20
682;4.4;3.3;Duplex;A CORUÑA;2025-06;448.3;64.1367;282.2;28752.48;2025-04-20
683;5.4;3.2;Piso;GIRONA;2025-08;298.73;26.2382;141.69;7838.14;2025-04-20
684;5.2;3.2;Piso;BADAJOZ;2025-05;297.3;173.9342;904.46;51710.64;2025-04-20
685;5.4;4.0;Casa Unifamiliar;LUGO;2025-10;593.64;70.3236;379.75;41746.9;2025-04-20
686;3.7;4.7;Duplex;ZARAGOZA;2025-08;450.28;50.383;186.42;22686.46;2025-04-20
687;5.4;3.7;Adosado;A CORUÑA;2025-07;396.46;364.9853;1970.92;144702.07;2025-04-20
688;4.5;2.5;Casa Unifamiliar;ASTURIAS;2025-10;583.84;93.5894;421.15;54641.24;2025-04-20
689;4.7;3.7;Piso;SEGOVIA;2025-03;212.95;164.8141;774.63;35097.16;2025-04-20
690;4.9;3.6;Adosado;SEVILLA;2025-04;383.93;79.6617;390.34;30584.52;2025-04-20
691;4.9;2.7;Adosado;AVILA;2025-04;287.42;67.1437;329.0;19298.44;2025-04-20
692;5.0;3.6;Duplex;PALENCIA;2025-06;408.19;87.3572;436.79;35658.34;2025-04-20
693;4.1;4.8;Casa Unifamiliar;CADIZ;2025-04;599.61;64.0243;262.5;38389.61;2025-04-20
694;4.0;5.0;Piso;BARCELONA;2025-08;217.24;69.9815;279.93;15202.78;2025-04-20
695;3.7;4.7;Casa Unifamiliar;CUENCA;2025-09;478.32;87.7666;324.74;41980.52;2025-04-20
696;5.3;3.8;Duplex;SEVILLA;2025-03;383.43;83.7553;443.9;32114.29;2025-04-20
697;3.5;3.6;Piso;LAS PALMAS;2025-05;280.08;86.2678;301.94;24161.89;2025-04-20
698;5.0;3.7;Duplex;PONTEVEDRA;2025-05;430.44;395.4128;1977.06;170201.49;2025-04-20
699;4.5;4.2;Duplex;CADIZ;2025-05;454.19;80.1627;360.73;36409.1;2025-04-20
700;5.4;4.3;Casa Unifamiliar;ILLES BALEARS;2025-08;604.94;170.0566;918.31;102874.04;2025-04-20
701;6.2;2.2;Piso;TERUEL;2025-09;247.41;38.8496;240.87;9611.78;2025-04-20
702;6.2;3.8;Piso;SORIA;2025-03;222.8;41.1863;255.36;9176.31;2025-04-20
703;6.3;2.2;Duplex;BADAJOZ;2025-08;404.05;185.5355;1168.87;74965.62;2025-04-20
704;4.0;3.4;Casa Unifamiliar;CORDOBA;2025-08;610.38;396.7317;1586.93;242157.1;2025-04-20
705;6.1;3.1;Casa Unifamiliar;LLEIDA;2025-07;599.2;64.3162;392.33;38538.27;2025-04-20
706;6.6;3.9;Duplex;MALAGA;2025-07;434.39;323.9015;2137.75;140699.57;2025-04-20
707;5.0;4.0;Duplex;SEGOVIA;2025-03;360.03;92.2785;461.39;33223.03;2025-04-20
708;3.8;4.0;Duplex;OURENSE;2025-10;369.21;62.548;237.68;23093.35;2025-04-20
709;3.7;3.8;Piso;TERUEL;2025-08;248.14;65.9745;244.11;16370.91;2025-04-20
710;4.8;3.0;Adosado;ALMERIA;2025-03;403.99;54.5905;262.03;22054.02;2025-04-20
711;4.7;2.9;Adosado;ZAMORA;2025-05;383.68;70.9437;333.44;27219.68;2025-04-20
712;4.0;3.5;Duplex;NAVARRA;2025-04;397.62;64.2959;257.18;25565.34;2025-04-20
713;6.4;4.4;Piso;NAVARRA;2025-09;296.81;85.4031;546.58;25348.49;2025-04-20
714;6.1;3.5;Piso;ASTURIAS;2025-09;305.4;83.5444;509.62;25514.46;2025-04-20
715;4.7;4.7;Casa Unifamiliar;NAVARRA;2025-07;592.6;41.0901;193.12;24349.99;2025-04-20
716;5.6;4.0;Piso;LEON;2025-10;268.62;60.8344;340.67;16341.34;2025-04-20
717;6.2;2.2;Casa Unifamiliar;ALBACETE;2025-09;546.65;76.2146;472.53;41662.71;2025-04-20
718;4.6;3.2;Duplex;TOLEDO;2025-10;352.49;194.1235;892.97;68426.59;2025-04-20
719;5.4;3.5;Piso;CACERES;2025-07;230.73;79.9623;431.8;18449.7;2025-04-20
720;3.8;2.3;Duplex;ASTURIAS;2025-04;395.51;69.7416;265.02;27583.5;2025-04-20
721;3.7;2.0;Adosado;CACERES;2025-07;366.03;77.6263;287.22;28413.55;2025-04-20
722;4.6;3.8;Casa Unifamiliar;CIUDAD REAL;2025-04;594.12;66.0234;303.71;39225.82;2025-04-20
723;5.7;4.5;Adosado;ZARAGOZA;2025-07;405.34;68.2809;389.2;27676.98;2025-04-20
724;6.5;3.5;Adosado;ZARAGOZA;2025-07;395.19;94.6746;615.38;37414.46;2025-04-20
725;4.4;3.9;Duplex;MURCIA;2025-09;446.77;92.8662;408.61;41489.83;2025-04-20
726;6.5;3.2;Casa Unifamiliar;SEVILLA;2025-03;573.46;197.1308;1281.35;113046.63;2025-04-20
727;6.4;4.7;Adosado;TARRAGONA;2025-03;340.85;104.0449;665.89;35463.7;2025-04-20
728;4.6;3.6;Adosado;TARRAGONA;2025-07;366.74;60.2733;277.26;22104.63;2025-04-20
729;5.6;4.2;Piso;ALAVA;2025-08;250.22;44.4487;248.91;11121.95;2025-04-20
730;6.4;2.0;Adosado;MADRID;2025-08;316.38;63.8975;408.94;20215.89;2025-04-20
731;6.3;4.5;Adosado;ZARAGOZA;2025-08;305.84;45.45;286.34;13900.43;2025-04-20
732;6.5;4.8;Duplex;ASTURIAS;2025-03;366.03;172.3797;1120.47;63096.14;2025-04-20
733;6.5;4.4;Adosado;BURGOS;2025-08;322.36;40.9307;266.05;13194.42;2025-04-20
734;4.1;3.4;Adosado;BADAJOZ;2025-09;401.7;361.8812;1483.71;145367.68;2025-04-20
735;3.7;3.6;Casa Unifamiliar;SORIA;2025-08;609.82;200.2883;741.07;122139.81;2025-04-20
736;3.7;4.6;Piso;VALENCIA;2025-05;279.58;194.3348;719.04;54332.12;2025-04-20
737;6.4;3.6;Duplex;SANTA CRUZ DE TENERIFE;2025-10;458.84;364.18;2330.75;167100.35;2025-04-20
738;5.9;2.6;Casa Unifamiliar;LAS PALMAS;2025-10;592.88;167.1547;986.21;99102.68;2025-04-20
739;4.6;3.0;Piso;HUESCA;2025-08;207.56;65.0304;299.14;13497.71;2025-04-20
740;4.7;2.8;Piso;ALICANTE;2025-06;176.91;391.9639;1842.23;69342.33;2025-04-20
741;4.0;3.4;Duplex;TERUEL;2025-06;443.38;240.3504;961.4;106566.56;2025-04-20
742;5.6;3.8;Duplex;TERUEL;2025-03;433.08;105.9383;593.25;45879.76;2025-04-20
743;5.5;3.3;Duplex;CIUDAD REAL;2025-06;456.93;64.6545;355.6;29542.58;2025-04-20
744;4.9;2.9;Duplex;SANTA CRUZ DE TENERIFE;2025-03;411.58;61.9132;303.37;25482.23;2025-04-20
745;3.3;4.0;Casa Unifamiliar;ALMERIA;2025-03;540.64;86.2812;284.73;46647.07;2025-04-20
746;6.0;3.9;Duplex;ALICANTE;2025-06;358.57;63.3708;380.22;22722.87;2025-04-20
747;4.3;2.6;Duplex;PALENCIA;2025-04;417.41;54.0229;232.3;22549.7;2025-04-20
748;3.3;2.5;Duplex;LA RIOJA;2025-07;392.48;503.9316;1662.97;197783.07;2025-04-20
749;6.4;4.5;Adosado;ALAVA;2025-10;371.58;70.4655;450.98;26183.57;2025-04-20
750;5.4;4.3;Piso;ZARAGOZA;2025-09;174.24;80.6656;435.59;14055.17;2025-04-20
751;4.4;4.4;Piso;A CORUÑA;2025-04;300.91;191.7472;843.69;57698.65;2025-04-20
752;3.4;4.2;Adosado;CIUDAD REAL;2025-06;345.53;50.6278;172.13;17493.42;2025-04-20
753;4.4;4.7;Adosado;ALAVA;2025-10;301.09;171.4214;754.25;51613.27;2025-04-20
754;3.6;4.6;Casa Unifamiliar;HUESCA;2025-08;596.78;80.3389;289.22;47944.65;2025-04-20
755;3.8;4.6;Duplex;GUADALAJARA;2025-03;445.69;71.8074;272.87;32003.84;2025-04-20
756;6.3;2.9;Duplex;TARRAGONA;2025-04;455.47;74.9779;472.36;34150.18;2025-04-20
757;4.6;3.5;Duplex;SALAMANCA;2025-10;455.53;61.6366;283.53;28077.32;2025-04-20
758;6.3;4.2;Adosado;BADAJOZ;2025-05;289.28;133.0693;838.34;38494.29;2025-04-20
759;5.2;2.8;Piso;LAS PALMAS;2025-03;213.06;60.3317;313.72;12854.27;2025-04-20
760;6.2;3.2;Casa Unifamiliar;MALAGA;2025-04;431.72;177.4237;1100.03;76597.36;2025-04-20
761;3.5;3.5;Casa Unifamiliar;LA RIOJA;2025-07;566.22;200.6594;702.31;113617.37;2025-04-20
762;4.0;4.5;Piso;LUGO;2025-04;302.68;265.0209;1060.08;80216.53;2025-04-20
763;4.1;2.1;Piso;SANTA CRUZ DE TENERIFE;2025-06;265.06;98.5872;404.21;26131.52;2025-04-20
764;6.1;4.8;Casa Unifamiliar;NAVARRA;2025-09;591.83;41.4013;252.55;24502.53;2025-04-20
765;4.6;2.0;Casa Unifamiliar;CORDOBA;2025-10;610.27;41.0225;188.7;25034.8;2025-04-20
766;4.3;3.9;Piso;MADRID;2025-10;184.41;79.3347;341.14;14630.11;2025-04-20
767;6.6;4.6;Casa Unifamiliar;VALENCIA;2025-06;576.98;72.8741;480.97;42046.9;2025-04-20
768;5.0;2.5;Piso;LA RIOJA;2025-08;305.53;135.6178;678.09;41435.31;2025-04-20
769;4.7;3.4;Piso;GUADALAJARA;2025-03;259.3;161.0257;756.82;41753.96;2025-04-20
770;4.2;4.6;Duplex;ALBACETE;2025-06;363.48;187.3221;786.75;68087.84;2025-04-20
771;5.5;2.8;Duplex;TARRAGONA;2025-06;357.25;191.721;1054.47;68492.33;2025-04-20
772;6.5;2.8;Adosado;NAVARRA;2025-06;339.94;68.5935;445.86;23317.67;2025-04-20
773;6.4;2.1;Adosado;CANTABRIA;2025-03;373.91;202.0019;1292.81;75530.53;2025-04-20
774;4.2;4.6;Piso;BADAJOZ;2025-09;305.76;165.4564;694.92;50589.95;2025-04-20
775;4.2;4.7;Casa Unifamiliar;ALICANTE;2025-10;548.1;80.4163;337.75;44076.17;2025-04-20
776;6.0;4.2;Piso;MURCIA;2025-09;168.1;75.1211;450.73;12627.86;2025-04-20
777;5.5;2.5;Casa Unifamiliar;HUELVA;2025-04;522.39;72.82;400.51;38040.44;2025-04-20
778;3.5;4.0;Casa Unifamiliar;PONTEVEDRA;2025-09;597.74;91.3639;319.77;54611.86;2025-04-20
779;4.2;3.6;Casa Unifamiliar;TERUEL;2025-07;479.36;75.1016;315.43;36000.7;2025-04-20
780;4.6;2.8;Casa Unifamiliar;OURENSE;2025-04;516.75;67.2665;309.43;34759.96;2025-04-20
781;5.9;3.4;Piso;ALAVA;2025-08;229.84;98.2644;579.76;22585.09;2025-04-20
782;5.4;2.4;Casa Unifamiliar;NAVARRA;2025-06;606.28;67.8546;366.41;41138.89;2025-04-20
783;4.2;2.5;Casa Unifamiliar;ASTURIAS;2025-03;588.16;103.5022;434.71;60875.85;2025-04-20
784;4.9;4.4;Casa Unifamiliar;LA RIOJA;2025-09;609.81;36.8023;180.33;22442.41;2025-04-20
785;3.9;2.6;Piso;TERUEL;2025-08;217.33;37.539;146.4;8158.35;2025-04-20
786;4.7;4.9;Adosado;GIRONA;2025-05;351.72;273.2622;1284.33;96111.78;2025-04-20
787;5.8;4.6;Piso;LUGO;2025-09;189.83;63.2755;367.0;12011.59;2025-04-20
788;4.7;2.2;Duplex;PONTEVEDRA;2025-07;444.86;60.2567;283.21;26805.8;2025-04-20
789;4.1;4.0;Casa Unifamiliar;ZARAGOZA;2025-03;606.88;191.3433;784.51;116122.42;2025-04-20
790;4.2;2.1;Piso;CUENCA;2025-06;301.91;65.458;274.92;19762.42;2025-04-20
791;4.8;2.4;Duplex;AVILA;2025-04;425.8;67.7313;325.11;28839.99;2025-04-20
792;4.6;3.0;Piso;CACERES;2025-09;252.54;333.5586;1534.37;84236.89;2025-04-20
793;6.4;4.9;Adosado;ALAVA;2025-10;360.66;65.2039;417.3;23516.44;2025-04-20
794;6.0;3.4;Adosado;NAVARRA;2025-08;406.73;93.3096;559.86;37951.81;2025-04-20
795;5.1;4.4;Adosado;MURCIA;2025-06;386.7;92.096;469.69;35613.52;2025-04-20
796;4.8;3.0;Duplex;CANTABRIA;2025-08;411.43;94.5235;453.71;38889.8;2025-04-20
797;3.8;2.0;Adosado;VALLADOLID;2025-08;310.87;99.4841;378.04;30926.62;2025-04-20
798;5.4;4.5;Casa Unifamiliar;BURGOS;2025-05;503.94;60.3934;326.12;30434.65;2025-04-20
799;5.9;4.7;Casa Unifamiliar;ASTURIAS;2025-08;527.33;197.0094;1162.36;103888.97;2025-04-20
800;4.2;3.6;Adosado;LA RIOJA;2025-07;377.43;85.2939;358.23;32192.48;2025-04-20
801;5.2;4.2;Casa Unifamiliar;ALAVA;2025-06;596.73;239.4214;1244.99;142869.93;2025-04-20
802;3.4;2.7;Duplex;GUADALAJARA;2025-08;452.11;64.1871;218.24;29019.63;2025-04-20
803;5.2;3.9;Piso;SALAMANCA;2025-09;283.83;371.1072;1929.76;105331.36;2025-04-20
804;6.0;2.1;Piso;ZAMORA;2025-03;221.99;67.154;402.92;14907.52;2025-04-20
805;6.4;3.5;Piso;PALENCIA;2025-06;176.72;428.9702;2745.41;75807.61;2025-04-20
806;4.3;2.0;Piso;BARCELONA;2025-04;294.46;332.3579;1429.14;97866.11;2025-04-20
807;4.7;4.0;Duplex;MALAGA;2025-04;370.48;78.2318;367.69;28983.32;2025-04-20
808;4.1;3.9;Casa Unifamiliar;SEVILLA;2025-07;521.56;44.9798;184.42;23459.66;2025-04-20
809;6.2;4.2;Duplex;HUELVA;2025-05;371.3;72.7249;450.89;27002.76;2025-04-20
810;5.2;2.9;Piso;VALLADOLID;2025-10;172.34;49.9945;259.97;8616.05;2025-04-20
811;5.6;2.9;Adosado;ILLES BALEARS;2025-05;349.04;78.3396;438.7;27343.65;2025-04-20
812;5.1;3.1;Adosado;SEGOVIA;2025-06;361.49;54.1863;276.35;19587.81;2025-04-20
813;4.8;4.6;Duplex;PALENCIA;2025-03;437.31;501.6917;2408.12;219394.8;2025-04-20
814;4.3;2.9;Duplex;CADIZ;2025-08;456.38;266.5503;1146.17;121648.23;2025-04-20
815;4.7;2.9;Piso;ZARAGOZA;2025-09;262.03;198.7472;934.11;52077.73;2025-04-20
816;5.3;3.1;Adosado;NAVARRA;2025-04;287.84;44.2361;234.45;12732.92;2025-04-20
817;4.7;3.2;Casa Unifamiliar;CORDOBA;2025-03;566.56;81.015;380.77;45899.86;2025-04-20
818;3.3;3.4;Casa Unifamiliar;BIZKAIA;2025-04;604.26;106.1251;350.21;64127.15;2025-04-20
819;6.3;3.1;Duplex;PONTEVEDRA;2025-03;457.37;64.538;406.59;29517.75;2025-04-20
820;4.5;4.8;Piso;BARCELONA;2025-10;305.23;93.9995;423.0;28691.47;2025-04-20
821;6.5;2.3;Adosado;PALENCIA;2025-04;302.4;331.4158;2154.2;100220.14;2025-04-20
822;6.2;3.8;Duplex;MURCIA;2025-04;388.51;70.357;436.21;27334.4;2025-04-20
823;5.3;3.7;Casa Unifamiliar;CACERES;2025-03;551.0;367.1912;1946.11;202322.35;2025-04-20
824;3.8;3.1;Duplex;A CORUÑA;2025-07;445.73;238.2517;905.36;106195.93;2025-04-20
825;5.5;2.5;Piso;ALICANTE;2025-08;255.11;136.8673;752.77;34916.22;2025-04-20
826;6.4;2.7;Piso;LEON;2025-07;304.0;76.9818;492.68;23402.47;2025-04-20
827;4.0;3.7;Adosado;CADIZ;2025-05;349.73;92.0587;368.23;32195.69;2025-04-20
828;4.3;3.8;Piso;PALENCIA;2025-09;269.95;202.0474;868.8;54542.7;2025-04-20
829;6.5;3.6;Casa Unifamiliar;BIZKAIA;2025-07;475.64;111.685;725.95;53121.85;2025-04-20
830;5.1;2.9;Piso;NAVARRA;2025-04;174.51;93.107;474.85;16248.1;2025-04-20
831;3.3;4.4;Duplex;ZARAGOZA;2025-10;406.36;39.0149;128.75;15854.09;2025-04-20
832;5.8;3.3;Adosado;VALENCIA;2025-03;335.4;43.8962;254.6;14722.79;2025-04-20
833;6.2;2.4;Adosado;VALLADOLID;2025-07;349.97;54.3869;337.2;19033.78;2025-04-20
834;6.2;3.8;Duplex;ASTURIAS;2025-07;457.35;66.186;410.35;30270.17;2025-04-20
835;6.0;2.1;Adosado;CACERES;2025-03;393.45;80.4098;482.46;31637.24;2025-04-20
836;6.5;2.4;Adosado;JAEN;2025-09;276.75;62.3927;405.55;17267.18;2025-04-20
837;4.6;3.2;Duplex;VALLADOLID;2025-06;369.7;81.6383;375.54;30181.68;2025-04-20
838;4.4;4.8;Casa Unifamiliar;ZAMORA;2025-03;457.35;174.5928;768.21;79850.02;2025-04-20
839;4.3;4.4;Duplex;BARCELONA;2025-07;437.71;110.4915;475.11;48363.23;2025-04-20
840;5.5;4.0;Duplex;VALENCIA;2025-09;445.4;70.8083;389.45;31538.02;2025-04-20
841;5.2;4.7;Casa Unifamiliar;CACERES;2025-09;510.84;65.3599;339.87;33388.45;2025-04-20
842;6.3;4.1;Duplex;ILLES BALEARS;2025-09;389.04;79.8901;503.31;31080.44;2025-04-20
843;5.7;4.7;Casa Unifamiliar;HUESCA;2025-08;531.32;511.2726;2914.25;271649.36;2025-04-20
844;3.7;4.8;Duplex;ZAMORA;2025-08;450.75;61.9945;229.38;27944.02;2025-04-20
845;4.7;3.1;Adosado;CUENCA;2025-03;305.89;37.9776;178.49;11616.97;2025-04-20
846;4.9;4.3;Casa Unifamiliar;SORIA;2025-10;530.14;70.3042;344.49;37271.07;2025-04-20
847;5.2;3.7;Casa Unifamiliar;MALAGA;2025-09;485.73;42.1594;219.23;20478.09;2025-04-20
848;3.4;2.7;Duplex;JAEN;2025-04;406.49;70.7058;240.4;28741.2;2025-04-20
849;6.5;3.4;Casa Unifamiliar;SALAMANCA;2025-04;606.15;137.7662;895.48;83506.98;2025-04-20
850;3.8;4.2;Adosado;MADRID;2025-07;302.54;224.2927;852.31;67857.51;2025-04-20
851;4.5;2.5;Piso;TERUEL;2025-09;173.61;72.3775;325.7;12565.46;2025-04-20
852;6.3;4.3;Piso;GIRONA;2025-09;293.59;42.0281;264.78;12339.03;2025-04-20
853;3.9;2.3;Duplex;NAVARRA;2025-05;393.54;81.285;317.01;31988.9;2025-04-20
854;5.5;4.0;Duplex;SANTA CRUZ DE TENERIFE;2025-06;407.53;244.9314;1347.12;99816.89;2025-04-20
855;5.2;5.0;Adosado;LEON;2025-06;368.92;41.0072;213.24;15128.38;2025-04-20
856;6.6;2.5;Casa Unifamiliar;CUENCA;2025-08;603.65;62.7849;414.38;37900.1;2025-04-20
857;3.8;2.9;Adosado;BURGOS;2025-10;292.18;74.2559;282.17;21696.09;2025-04-20
858;6.1;2.6;Casa Unifamiliar;AVILA;2025-04;469.68;72.696;443.45;34143.86;2025-04-20
859;3.6;3.3;Casa Unifamiliar;NAVARRA;2025-03;583.33;31.1393;112.1;18164.49;2025-04-20
860;4.7;2.1;Piso;BIZKAIA;2025-08;187.82;51.0311;239.85;9584.66;2025-04-20
